model_id,snr,ber__mean,ber__std,ber__std_confidence
turboae_approximated_encoder_decoder_finetune,-3.0,0.27120158076286316,0.1342250555753708,0.0006002726971004325
turboae_approximated_encoder_decoder_finetune,-2.5,0.20825859904289246,0.14430342614650726,0.0006453445404994215
turboae_approximated_encoder_decoder_finetune,-2.0,0.14123938977718353,0.13905225694179535,0.0006218605978932428
turboae_approximated_encoder_decoder_finetune,-1.5,0.07858960330486298,0.11425294727087021,0.0005109547134547297
turboae_approximated_encoder_decoder_finetune,-1.0,0.03506038710474968,0.07802211493253708,0.00034892550547490866
turboae_approximated_encoder_decoder_finetune,-0.5,0.011687995865941048,0.042224712669849396,0.00018883465572035977
turboae_approximated_encoder_decoder_finetune,0.0,0.003513999516144395,0.019379455596208572,8.666756016012217e-05
turboae_approximated_encoder_decoder_finetune,0.5,0.0009770001051947474,0.006742727942764759,3.0154396067618626e-05
turboae_approximated_encoder_decoder_finetune,1.0,0.0003361999988555908,0.003136425744742155,1.4026522343247726e-05
turboae_approximated_encoder_decoder_finetune,1.5,0.00012719999358523637,0.0015607270179316401,6.979783412831361e-06
turboae_approximated_encoder_decoder_finetune,2.0,4.2399991798447445e-05,0.000849833304528147,3.800570076936433e-06
turboae_approximated_encoder_decoder_finetune,2.5,1.6799998775240965e-05,0.000561893277335912,2.5128631284464823e-06
turboae_approximated_encoder_decoder_finetune,3.0,3.000000106112566e-06,0.0002049190952675417,9.164260538119574e-07
